Type,Settle,RollDate,Maturity,Rate,Basis,Frequency,CouponBasis
Cash,20160923,N/A,20160926,0.073210063,ACT/365,N/A,1
Cash,20160923,N/A,20161024,0.073415985,ACT/365,N/A,1
Cash,20160923,N/A,20161123,0.073457958,ACT/365,N/A,1
Cash,20160923,N/A,20161223,0.07358,ACT/365,N/A,1
Cash,20160923,N/A,20170323,0.074362568,ACT/365,N/A,1
Cash,20160923,N/A,20170623,0.075194922,ACT/365,N/A,1
Cash,20160923,N/A,20170926,0.075988117,ACT/365,N/A,1
Swap,20160923,20160923,20180925,0.073882071,ACT/365,4,1
Swap,20160923,20160923,20190923,0.074536079,ACT/365,4,1
Swap,20160923,20160923,20200923,0.075446385,ACT/365,4,1
Swap,20160923,20160923,20210923,0.076284794,ACT/365,4,1
Swap,20160923,20160923,20220923,0.077214439,ACT/365,4,1
Swap,20160923,20160923,20230926,0.078099406,ACT/365,4,1
Swap,20160923,20160923,20240923,0.078822434,ACT/365,4,1
Swap,20160923,20160923,20250923,0.079481659,ACT/365,4,1
Swap,20160923,20160923,20260923,0.080041089,ACT/365,4,1
Swap,20160923,20160923,20360923,0.079688324,ACT/365,4,1
Swap,20160923,20160923,20460925,0.077569439,ACT/365,4,1