Type,Settle, RollDate ,Maturity ,Rate,Basis,Frequency,CouponBasis
Cash,20160926,N/A,20160928,0.0022875,ACT/365,N/A,1
Cash,20160928,N/A,20161005,0.002445,ACT/365,N/A,1
Cash,20160928,N/A,20161028,0.0026688,ACT/365,N/A,1
Cash,20160928,N/A,20161128,0.0032444,ACT/365,N/A,1
Cash,20160928,N/A,20161228,0.0037625,ACT/365,N/A,1
Cash,20160928,N/A,20170328,0.0052469,ACT/365,N/A,1
Cash,20160928,N/A,20170628,0.0000000,ACT/365,N/A,1
Swap,20160928,20160928,20170928,0.003029345,ACT/365,2,1
Swap,20160928,20160928,20180928,0.004235619,ACT/365,2,1
Swap,20160928,20160928,20190930,0.004236182,ACT/365,2,1
Swap,20160928,20160928,20200928,0.004511441,ACT/365,2,1
Swap,20160928,20160928,20210928,0.004929994,ACT/365,2,1
Swap,20160928,20160928,20220928,0.00540816,ACT/365,2,1
Swap,20160928,20160928,20230928,0.005960088,ACT/365,2,1
Swap,20160928,20160928,20240930,0.006533986,ACT/365,2,1
Swap,20160928,20160928,20250929,0.007097806,ACT/365,2,1
Swap,20160928,20160928,20260928,0.007640019,ACT/365,2,1
Swap,20160928,20160928,20360929,0.00990999,ACT/365,2,1
Swap,20160928,20160928,20460928,0.009719993,ACT/365,2,1